cohort	gene	celltype	mean_expression	detection_fraction	donor_count	detected_donor_count	status	bootstrap_first_frequency
GSE263733	ACSM2B	Fibroblast/CAF	0.0	0.0	11	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2B	Myeloid	0.0077312269823315545	9.960159362549499e-05	20	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2B	T/NK	0.011387767627628876	8.0614880327175e-05	20	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM4	Acinar	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM4	B/Plasma	0.013301330103884365	0.00014892032762471764	17	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM4	Endothelial	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM4	Epithelial/Ductal	0.0018736399364311443	4.760544606302778e-05	18	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM4	Fibroblast/CAF	0.0	0.0	11	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM4	Myeloid	0.0	0.0	20	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM4	T/NK	0.0	0.0	20	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACY3	Acinar	0.9161394543961019	0.05521918198453968	4	3	EVALUABLE	0.009
GSE263733	ACY3	B/Plasma	1.1807931394948645	0.021413393905370472	17	13	EVALUABLE	0.02
GSE263733	ACY3	Endothelial	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACY3	Epithelial/Ductal	1.7679435314651388	0.1583669458712247	18	18	EVALUABLE	0.971
GSE263733	ACY3	Fibroblast/CAF	0.2554737424123834	0.006945662194513	11	5	EVALUABLE	0.0
GSE263733	ACY3	Myeloid	0.6648514020057593	0.010526226700414575	20	17	EVALUABLE	0.0
GSE263733	ACY3	T/NK	0.4190490401336728	0.003393544255876655	20	15	EVALUABLE	0.0
GSE263733	ADA	Acinar	1.484592538705071	0.06309436989574796	4	4	EVALUABLE	0.0
GSE263733	ADA	B/Plasma	2.388034785052045	0.07783674316673549	17	17	EVALUABLE	0.0
